Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(Subtyping not performed),B,BVIC,BYAM
201840,0,29,11,8,0,7,11
201841,0,52,11,8,5,3,5
201842,0,51,21,13,1,2,14
201843,0,74,35,3,3,0,13
201844,0,84,23,2,1,1,8
201845,0,117,27,14,4,4,7
201846,0,147,40,9,0,2,3
201847,0,211,53,9,1,2,5
201848,0,322,63,9,1,2,10
201849,0,356,89,14,8,3,7
201850,0,667,166,16,3,7,6
201851,0,1100,227,78,9,20,7
201852,0,1216,263,114,9,18,9
201901,0,1129,270,168,6,6,14
201902,0,1348,218,106,14,2,14
201903,0,1354,320,114,10,16,14
201904,0,1354,444,119,19,15,9
201905,0,1412,663,31,12,21,16
201906,0,1516,894,28,14,11,6
201907,0,1068,851,84,14,11,7
201908,0,494,583,51,9,7,7
